stress,l1_angle,edge,ring,tsne,index
137.34927,63.757404,0.19324313,112.05492,0.12568016,10108
187.79889,89.34083,0.20448403,176.97014,0.17089646,10109
36.508358,40.85112,0.15662462,45.349354,0.11210267,10110
1095.5441,167.91751,0.38882223,643.5258,0.3160833,10111
11.099778,24.77962,0.08759843,25.713276,0.071762875,10112
227.72485,79.70385,0.19613108,209.00221,0.1487866,10113
47.87604,30.78611,0.15540034,38.80131,0.098403394,10114
1007.6079,193.4995,0.39702055,661.52155,0.3062695,10115
24.778557,36.03161,0.15660903,41.94551,0.088804215,10116
457.01752,91.90633,0.2909024,231.38434,0.24922332,10117
533.96545,117.32608,0.29591963,306.44464,0.18831354,10118
143.2909,63.254684,0.15865062,138.37862,0.16837423,10119
73.309204,64.17129,0.13429174,95.74331,0.10687362,10120
44.55329,49.874393,0.09878439,59.818855,0.072145656,10121
72.44794,54.37345,0.10506904,87.860664,0.09111235,10122
57.32033,24.918198,0.5238308,46.630966,0.13413003,10123
19.68643,28.509825,0.18953921,25.60396,0.08683169,10124
909.5525,159.46095,0.37539452,544.8382,0.3122877,10125
686.6939,136.53291,0.271182,467.2378,0.2796943,10126
17.21695,35.223682,0.15018636,27.503832,0.078396484,10127
161.5684,75.20589,0.2084145,125.00206,0.12987596,10128
666.2322,131.42607,0.35213137,446.83618,0.23898515,10129
622.4163,112.17269,0.25444674,379.29535,0.29194322,10130
253.7343,82.390274,0.16358194,199.4365,0.16327828,10131
186.38283,85.46485,0.17164712,197.3057,0.17647009,10132
515.1177,120.8279,0.45684043,366.64255,0.2763484,10133
1211.8763,180.90259,0.350678,689.5835,0.3171086,10134
108.255005,68.658066,0.19077073,107.64797,0.11498757,10135
49.18194,49.144054,0.2876742,52.320484,0.135964,10136
17.072653,26.242758,0.10804534,35.156807,0.07044685,10137
375.13654,111.72515,0.24691156,250.71841,0.24792403,10138
454.34714,122.451904,0.24286744,282.82834,0.20288824,10139
113.660385,69.6219,0.16272117,96.714836,0.14713185,10140
21.015142,21.778269,0.29886746,18.520607,0.095951244,10141
459.6825,103.29494,0.2520309,268.29266,0.25421128,10142
1148.3052,216.11058,0.4293035,752.67194,0.3091614,10143
1334.7535,198.87251,0.4465741,850.0908,0.31116298,10144
487.8484,137.01659,0.20921272,395.58337,0.24291755,10145
184.06976,81.89058,0.21094012,142.32748,0.16209422,10146
557.1908,112.22209,0.335313,348.8645,0.2584188,10147
1085.8739,185.84018,0.31717646,675.30725,0.31911683,10148
14.272938,22.661137,0.062627584,27.787092,0.083480425,10149
31.376223,26.259533,0.2828024,43.30605,0.09939791,10150
25.400486,33.348446,0.205208,35.503685,0.102910556,10151
346.17334,126.28852,0.21139681,254.04955,0.20934242,10152
164.82898,74.14042,0.20767777,155.26639,0.1557185,10153
662.4821,127.5131,0.29391244,353.4458,0.2789177,10154
35.169693,38.723236,0.12239123,59.724785,0.08534718,10155
215.3629,68.79343,0.33519512,173.94661,0.17279238,10156
198.04907,102.693085,0.16001262,186.78426,0.1491806,10157
26.638685,37.254383,0.17439805,42.317146,0.094145976,10158
468.11234,122.76845,0.2773529,360.2419,0.24986322,10159
192.93185,63.157707,0.2558988,142.66594,0.1893614,10160
780.35583,145.13698,0.31481057,411.62527,0.30834568,10161
1271.2286,192.19301,0.42826095,687.9581,0.33097455,10162
221.21658,89.32181,0.18110357,184.56279,0.1849452,10163
194.005,72.22181,0.23903263,152.23738,0.16629948,10164
396.5974,100.679985,0.19598141,235.1374,0.25724694,10165
31.67946,32.545475,0.13096598,42.58292,0.088927165,10166
154.34486,67.603195,0.2263352,149.87653,0.16559874,10167
58.086945,51.999207,0.15133223,71.6422,0.092860974,10168
1125.7217,157.84814,0.3657441,578.07404,0.36603618,10169
552.3235,125.91638,0.30067918,289.457,0.26786155,10170
100.04746,48.709274,0.19704965,97.87164,0.1678003,10171
1013.90393,180.52037,0.51398855,547.3556,0.29181227,10172
578.57587,143.52533,0.26034296,436.78995,0.2273013,10173
1219.3755,171.33247,0.34287292,686.70087,0.33290616,10174
1174.8303,171.2603,0.32640514,659.2275,0.30706766,10175
367.11008,113.16646,0.24498433,266.5424,0.24371171,10176
21.325686,36.212643,0.16392842,30.52529,0.082955636,10177
354.3192,112.657265,0.27460507,272.91574,0.2232041,10178
670.95746,133.88217,0.30852956,426.56708,0.24438351,10179
160.1323,66.24039,0.18930785,123.70167,0.14254826,10180
731.8792,143.54222,0.3154274,415.40262,0.3076095,10181
568.4962,120.00647,0.2851006,364.04077,0.23731261,10182
11.840192,30.790207,0.055164393,35.813507,0.060114734,10183
838.70654,137.43683,0.2987913,441.7811,0.24800855,10184
827.13617,147.65575,0.38458613,538.9203,0.31725377,10185
939.96466,144.67911,0.3425123,492.87292,0.31355774,10186
1116.1807,192.46355,0.3877146,697.5525,0.29563987,10187
61.13362,59.84193,0.10915191,92.59665,0.08110219,10188
1021.8622,160.14449,0.36255303,602.2901,0.31056902,10189
108.77886,68.690094,0.17112975,116.282135,0.12832145,10190
159.32288,64.62167,0.19563708,135.58867,0.16091807,10191
307.55267,100.2199,0.26819038,240.51704,0.21869472,10192
162.65942,75.76635,0.22917831,152.87704,0.19118252,10193
95.43451,72.52397,0.16404706,110.86905,0.12330452,10194
1103.3711,191.05481,0.29690796,734.77435,0.30985695,10195
766.1004,185.23909,0.30445403,512.2862,0.27468464,10196
496.82974,118.50038,0.29571444,340.64694,0.23145716,10197
617.9923,130.97021,0.34207365,358.48853,0.24002813,10198
61.69217,54.210163,0.14636436,82.883835,0.09664953,10199
182.21759,90.927505,0.21817395,192.97401,0.17995885,10200
452.57864,129.75346,0.2704204,311.5428,0.22724164,10201
170.52966,80.218895,0.20381406,167.03625,0.18875596,10202
939.0376,162.96436,0.3566876,522.46075,0.26396126,10203
9.2855215,23.080097,0.13404411,19.850988,0.07644542,10204
24.78843,35.947533,0.18989474,38.622295,0.07352429,10205
434.1461,115.46303,0.2424912,342.64218,0.24206804,10206
197.40431,82.768875,0.20938654,140.96198,0.17891783,10207
381.24072,104.45494,0.2306099,284.18365,0.23619121,10208
688.0271,142.80798,0.33470693,409.7883,0.25508672,10209
63.04874,42.61735,0.21435481,81.888824,0.09828348,10210
699.3408,130.43916,0.31082353,483.81647,0.2852486,10211
104.71634,56.272926,0.1552534,122.798584,0.13876289,10212
17.196568,25.764452,0.28167284,15.687953,0.07131128,10213
38.549507,39.760796,0.16186422,50.84537,0.095588736,10214
408.29974,130.85268,0.22640923,358.32068,0.22676289,10215
