stress,l1_angle,edge,ring,tsne,index
711.3788,138.51126,0.2997738,451.99423,0.31551075,10046
208.06625,70.6831,0.17186755,157.43411,0.21729453,10047
783.59106,141.32008,0.21813977,563.0453,0.38879496,10048
153.36725,73.055435,0.21715334,173.27495,0.20959601,10049
595.8661,156.86414,0.2464444,483.583,0.2669214,10050
962.92957,150.08417,0.23563397,639.62756,0.31761786,10051
146.65237,59.641384,0.2067247,142.9235,0.21566606,10052
220.58725,91.710434,0.33363283,218.8935,0.23021281,10053
175.37033,69.12964,0.1851602,196.7988,0.26497322,10054
3.0995276,4.3223433,0.016565993,15.439026,0.086785115,10055
438.2965,116.80392,0.23701385,305.7987,0.23805858,10056
857.7032,204.73053,0.26724645,661.14734,0.2904313,10057
346.01114,107.3442,0.22344393,324.20404,0.276487,10058
774.07544,147.59009,0.37812996,588.34827,0.29584095,10059
1416.4691,196.74089,0.3225671,912.4208,0.3932366,10060
796.0342,187.79462,0.20199925,531.96643,0.28411,10061
1195.4854,186.37549,0.26083094,728.7608,0.38720244,10062
36.43824,40.277855,0.1553923,71.13968,0.12584287,10063
830.485,158.67035,0.3446228,550.29456,0.30602515,10064
226.24443,52.58249,0.17018496,199.13313,0.31897253,10065
43.172703,24.974562,0.15135258,56.13125,0.17406279,10066
167.61952,59.316273,0.25069806,158.7261,0.22567622,10067
313.78345,94.3919,0.17322445,274.67905,0.28281653,10068
147.82272,74.62429,0.23990344,159.77592,0.28410164,10069
149.32864,78.79964,0.31368804,155.63702,0.23308682,10070
507.9032,103.76687,0.30630887,403.3186,0.29044315,10071
101.027054,58.98046,0.17778367,132.2891,0.19838238,10072
22.01529,19.822021,0.08406259,43.13506,0.13891868,10073
964.6197,171.40915,0.2501836,604.4861,0.31582955,10074
241.6727,90.17545,0.30121142,231.05696,0.26485842,10075
136.19614,74.61197,0.22492254,155.922,0.20612432,10076
1012.5547,145.72034,0.30096328,627.17065,0.33457515,10077
529.9237,154.91013,0.24027051,392.8311,0.27353376,10078
