stress,l1_angle,edge,ring,tsne,index
52.258686,35.472275,0.5474545,36.064777,0.27762085,10101
378.551,118.631905,1.3640494,144.70424,0.29532737,10102
23.568127,37.83322,0.2622108,30.950691,0.11465404,10103
398.04575,70.23794,1.003968,201.46526,0.8370043,10104
414.91,109.88648,1.2139761,207.91518,0.36451963,10105
95.18189,41.5573,0.5162924,75.082565,0.3083866,10106
211.82367,68.729416,0.8685219,144.4019,0.32196352,10107
472.85318,108.913704,1.7151783,183.66902,0.31481054,10108
383.04782,107.500084,1.1778194,221.99733,0.21240313,10109
132.08786,55.194862,0.61503613,97.772095,0.31233886,10110
1685.6415,189.25499,1.3467396,764.095,0.33752114,10111
40.825985,40.311913,0.30438402,41.43904,0.17536527,10112
600.286,121.61265,1.4833455,286.0047,0.2560438,10113
286.52594,63.827747,1.0552843,138.58977,0.6340356,10114
1547.5522,198.28632,1.0110528,803.11414,0.33132383,10115
51.80754,50.2078,0.35418838,56.686764,0.16682306,10116
423.60605,107.30802,0.37246016,204.79456,0.23985076,10117
595.8157,126.33165,0.511803,294.00253,0.20415281,10118
197.19588,77.72601,0.4659769,143.187,0.19824915,10119
276.52933,105.60014,1.0716445,138.56648,0.23105317,10120
362.42398,83.265015,0.94368804,187.88266,0.60363644,10121
386.81332,107.89426,1.2318869,150.4626,0.29985178,10122
94.70339,37.82229,0.5795167,69.67797,0.28703234,10123
60.66295,47.16159,0.3563263,50.320732,0.27002442,10124
1401.5497,156.9673,0.94505024,679.29926,0.36474895,10125
1296.1499,173.33842,1.4190949,594.49023,0.31925538,10126
55.320843,54.87711,0.4380948,44.355537,0.23097299,10127
718.7362,129.55067,1.8373013,271.76852,0.48976684,10128
922.3969,148.11621,0.88054585,510.9249,0.26420522,10129
467.87082,93.74742,0.1523492,319.38843,0.24844977,10130
289.22754,93.57909,0.3201149,187.66971,0.16821492,10131
303.58206,115.125305,0.640319,215.11563,0.20585391,10132
622.04846,143.89525,0.9300021,360.3437,0.27339777,10133
986.24036,161.08656,0.2481767,609.65326,0.28292173,10134
333.66797,90.325775,1.3938701,125.51783,0.23725098,10135
91.91264,45.61934,0.3951012,79.42508,0.27660167,10136
101.01756,48.49533,0.51221627,80.67476,0.27326065,10137
309.00848,104.070885,0.22250767,204.73259,0.20969987,10138
349.0982,99.67238,0.15932341,248.39194,0.17333153,10139
260.23718,93.612,1.1139145,110.66043,0.21609287,10140
57.65868,30.42565,0.50222605,40.708652,0.3715377,10141
363.28372,90.31033,0.17177176,232.12602,0.22280365,10142
917.3773,191.96951,0.29398325,652.80426,0.26724476,10143
1071.9766,177.47943,0.2656645,739.83435,0.2745047,10144
543.7578,155.77014,0.6033001,387.572,0.22991887,10145
485.56583,101.527374,1.41094,209.8452,0.29982919,10146
468.84525,108.10423,0.30377653,306.63562,0.22812553,10147
2095.9075,220.00864,1.5191541,922.89166,0.38266456,10148
75.479004,35.79079,0.55387706,56.937317,0.23795356,10149
60.50836,40.703377,0.4271479,58.611336,0.1703128,10150
46.868893,40.2202,0.34473592,46.939396,0.18672703,10151
788.40076,149.90918,0.9257314,330.47675,0.30174428,10152
640.52,117.5904,1.6953814,311.60678,0.35190332,10153
501.03125,110.528496,0.18528292,297.15765,0.23365481,10154
