index,stress,l1_angle,edge,ring,tsne,xing
10144,1032.2969,177.17924,0.1692743,743.1312,0.3190468438990327,192.0
10145,496.0165,128.97774,0.1557731,384.49698,0.3082443258500473,91.0
10146,111.52097,64.47997,0.080230005,125.24686,0.1699580572346155,14.0
10147,394.12155,84.75196,0.124243096,309.63083,0.261994635797118,37.0
10148,839.02686,166.95079,0.14556305,570.8182,0.277270341455404,98.0
10149,4.5012474,15.204533,0.01564138,23.695763,0.0551978322976086,0.0
10150,12.090584,25.229126,0.04842116,36.155907,0.0861148932153117,2.0
10151,5.531687,24.37653,0.022626616,27.106842,0.0713555419610273,0.0
10152,252.40442,107.2274,0.088808544,219.62465,0.1901414589701807,19.0
10153,127.082085,60.982193,0.08425709,149.51894,0.1851552174683492,18.0
10154,432.72424,92.84346,0.10926167,292.95462,0.2587223053228381,29.0
10155,14.573269,30.82045,0.033204038,54.392574,0.087874017733569,2.0
10156,97.90449,55.29857,0.08501301,136.19302,0.1515466038496525,13.0
10157,110.738235,83.66506,0.058953706,149.83136,0.1295200931097841,12.0
10158,10.122665,34.92189,0.038272843,35.74828,0.0913330907741769,3.0
10159,336.0529,113.08991,0.1058818,318.40775,0.2301067243467217,52.0
10160,110.45012,60.111156,0.06917527,118.19266,0.1778090919325089,9.0
10161,463.10297,94.03691,0.12036777,319.14395,0.2720343059914218,37.0
10162,815.3162,148.91704,0.13828948,550.1008,0.3001967423453424,78.0
10163,152.20656,72.16964,0.074209265,151.5513,0.1532359939827694,5.0
10164,93.85642,59.853863,0.0639218,121.720345,0.1526255495336899,8.0
10165,260.94916,92.87555,0.09542424,192.88008,0.2259967531382515,17.0
10166,13.729484,26.044386,0.043842945,38.34875,0.0885963518259226,2.0
10167,98.913765,54.80877,0.062413994,131.98303,0.161061026699528,11.0
10168,26.463114,49.738083,0.04406678,62.465668,0.0814356078222067,3.0
10169,730.0715,123.89276,0.12939389,432.24783,0.3077739362067066,61.0
10170,385.83255,99.02106,0.115262836,265.53906,0.279570927251397,32.0
10171,59.537636,36.27953,0.067037374,83.6494,0.1541359157823592,5.0
10172,630.34656,150.25554,0.12386642,397.47256,0.272135709705486,44.0
10173,442.90564,136.67207,0.14515059,382.14465,0.2046987194654079,57.0
10174,912.3158,155.9371,0.14921395,571.2451,0.293256679367387,97.0
10175,869.91077,146.79738,0.15692452,568.02985,0.2908303258470775,87.0
10176,253.61258,93.641365,0.09717896,222.05205,0.2514325276242629,34.0
10177,10.571103,28.384333,0.039302427,27.713058,0.0891753379988432,1.0
10178,241.38869,99.90442,0.11261784,230.91486,0.2046576233650595,29.0
10179,436.58624,121.287895,0.10168971,365.70255,0.2273089888381075,46.0
10180,81.21045,57.749695,0.06025046,107.07498,0.1271011319547818,4.0
10181,436.898,91.998825,0.11159838,327.61035,0.263023126437986,48.0
10182,349.86682,99.26631,0.10201959,320.16913,0.2508619216648095,51.0
10183,6.829443,32.53579,0.029007526,33.536755,0.0529822471174467,1.0
10184,451.55475,109.37137,0.08825888,346.7068,0.231246360456804,36.0
10185,565.873,133.46854,0.14405993,445.29648,0.2814919348224596,95.0
10186,643.983,121.97721,0.13507204,407.88245,0.2968358089322939,60.0
10187,803.891,165.6209,0.16486585,605.3473,0.2690266809073968,97.0
10188,36.132214,58.965477,0.05391045,85.55118,0.0765297568733056,3.0
10189,745.87036,143.23785,0.15426308,513.5607,0.2952475020035993,80.0
10190,57.14888,50.45053,0.06303627,101.725914,0.1111065138343235,7.0
10191,85.83764,46.073776,0.064823404,116.94105,0.1503274911582566,8.0
10192,212.15877,89.86198,0.11194855,210.21696,0.2020644081437484,28.0
10193,121.918625,81.3829,0.096412465,141.04309,0.1963512386273639,21.0
10194,52.257355,73.06493,0.053196803,97.336334,0.1096405269428735,4.0
10195,866.00793,160.42325,0.15287445,637.9798,0.2931190026072304,134.0
10196,561.13104,165.64513,0.13808466,443.08667,0.2650740349792362,71.0
10197,353.94058,112.56067,0.12544082,296.97046,0.2354663379885487,44.0
10198,400.4871,116.152794,0.10657328,316.95068,0.262377090225697,44.0
10199,26.340723,46.64667,0.03999012,72.88961,0.0842282042106465,5.0
10200,144.35054,97.479805,0.103602596,181.15778,0.188852028134882,29.0
10201,303.58832,119.68891,0.10610547,273.103,0.2124840561037854,31.0
10202,109.8982,66.24221,0.087874375,145.33908,0.1706597418031455,18.0
10203,522.08563,133.70935,0.101495415,423.45605,0.245760861808382,58.0
10204,4.3598337,23.132036,0.03243222,17.678278,0.0630159955846263,1.0
10205,5.762407,30.342648,0.022672487,32.511147,0.0494417253053117,0.0
10206,345.73163,93.38099,0.11430182,302.7111,0.2296191116465802,46.0
10207,110.51718,58.385853,0.07889871,128.0272,0.2120060266887428,15.0
10208,234.15369,87.41335,0.10387677,233.79932,0.1975067759734258,24.0
10209,378.99396,121.92981,0.11228042,322.7858,0.2131356406384202,43.0
10210,21.261467,40.619446,0.039950296,68.28643,0.0920381234872848,1.0
10211,455.40167,115.55681,0.12272431,399.2207,0.2509264297677613,70.0
10212,72.799286,51.130505,0.064837135,116.11543,0.1640025848184229,11.0
10213,0.9632332,2.5690217,0.009154804,12.847939,0.040454532323802,0.0
10214,17.633093,20.538713,0.045498155,46.242172,0.1048993333757903,3.0
10215,301.76138,114.4852,0.11066923,313.96088,0.2167987501355442,52.0
10216,8.854837,37.579205,0.027654601,38.83892,0.0485403607372725,0.0
10217,622.66833,138.01755,0.18425034,393.9551,0.3009443206105092,63.0
10218,9.8175335,25.625536,0.021146022,34.45117,0.0653426833943504,0.0
10219,175.79489,81.65119,0.12161333,186.84123,0.2033641835908255,25.0
10220,6.4373345,25.785069,0.04010975,27.966595,0.084301580250414,3.0
10221,152.21785,83.83864,0.08930672,190.97943,0.1929701387110791,33.0
10222,15.799845,37.610104,0.039175536,49.9167,0.0902141091504315,3.0
10223,166.25494,83.0841,0.06683656,214.39633,0.1525429080693753,20.0
10224,94.66236,41.909637,0.055987705,100.39504,0.1533670731139425,5.0
10225,82.45857,66.12345,0.07294363,126.595245,0.1775185887662734,29.0
10226,52.368248,27.046711,0.04493134,68.808205,0.0932696629763499,1.0
10227,7.3518844,15.838466,0.023583315,27.099876,0.0943481073933832,0.0
10228,69.81302,32.314247,0.058322165,105.289314,0.1551001981897237,3.0
10229,255.44023,72.00061,0.09312167,198.40813,0.2510876247006299,16.0
10230,739.56714,109.13873,0.124710836,405.13373,0.280486905944907,38.0
10231,59.431488,68.41794,0.057566524,105.464134,0.1438394657953002,10.0
