index,file,n,m,proc_time,pred_time,gt_stress,pred_stress,spc,mean_deg,max_deg,name,gviz_time
186,data/new_large_graph/cdde1.mtx,961,2821,4.8852386474609375,0.2814347743988037,11207.5478515625,313210.5625,0.9642172097833944,5.870967741935482,6,cdde1,1.1882777214050293
187,data/new_large_graph/cdde5.mtx,961,2821,4.967486381530762,0.2813701629638672,11207.5478515625,337767.6875,0.9668187684425482,5.870967741935482,6,cdde5,1.1761701107025146
188,data/new_large_graph/cdde4.mtx,961,2821,4.886826992034912,0.2977001667022705,11207.5478515625,325789.84375,0.9655988421168746,5.870967741935482,6,cdde4,1.1428966522216797
189,data/new_large_graph/cdde6.mtx,961,2821,4.895087718963623,0.282059907913208,11207.5478515625,365590.875,0.9693440164458084,5.870967741935482,6,cdde6,1.1385009288787842
190,data/new_large_graph/rdb968.mtx,968,3300,4.987503528594972,0.28528761863708496,15144.9384765625,348200.0,0.9565050589415208,6.8181818181818175,7,rdb968,1.1997179985046387
191,data/new_large_graph/ex27.mtx,974,20878,6.915064811706543,0.2894890308380127,43994.203125,178791.59375,0.7539358411530463,42.87063655030801,207,ex27,5.510123252868652
192,data/new_large_graph/west0989.mtx,989,3505,5.168704271316528,0.2977960109710693,128410.25,153845.375,0.16532914947881924,7.087967644084934,34,west0989,3.2173755168914795
193,data/new_large_graph/dwt_992.mtx,992,8868,6.005603790283202,0.3267643451690674,10786.5966796875,303409.875,0.9644487619933679,17.879032258064516,19,dwt_992,1.803164005279541
194,data/new_large_graph/collins_15NN.mtx,1000,8246,6.162797212600707,0.3152732849121094,3675.095458984375,436125.0625,0.9915732990947193,16.492,24,collins_15NN,5.743467569351196
195,data/new_large_graph/olm1000.mtx,1000,2997,5.468169927597046,0.3152902126312256,268.885498046875,599635.125,0.9995515848107682,5.994,7,olm1000,11.02485203742981
196,data/new_large_graph/tub1000.mtx,1000,2498,5.3976662158966064,0.3264296054840088,841.4801635742188,584179.5625,0.9985595522034816,4.996,5,tub1000,6.3359174728393555
197,data/new_large_graph/G46.mtx,1000,9990,5.3239426612854,0.31473350524902344,206643.03125,381507.1875,0.4583508829699309,19.98,35,G46,4.122607946395874
198,data/new_large_graph/G52.mtx,1000,5916,5.242579936981201,0.31407952308654785,165925.90625,591787.0,0.7196188725842237,11.832,171,G52,4.749641418457031
199,data/new_large_graph/G53.mtx,1000,5914,5.411718845367432,0.31660985946655273,165593.28125,602358.75,0.7250919302658092,11.828,136,G53,4.858778476715088
200,data/new_large_graph/G47.mtx,1000,9990,5.23737359046936,0.3351318836212158,206829.234375,384854.09375,0.4625775385168292,19.98,34,G47,3.7530572414398193
201,data/new_large_graph/G51.mtx,1000,5909,5.215195655822754,0.3145754337310791,166829.890625,613939.25,0.7282631944040066,11.818,156,G51,4.771860122680664
202,data/new_large_graph/G45.mtx,1000,9990,5.39783787727356,0.3146436214447021,206762.484375,396062.1875,0.4779544957823069,19.98,35,G45,3.9941208362579346
203,data/new_large_graph/G44.mtx,1000,9990,5.400310516357422,0.3152456283569336,205577.15625,381480.25,0.4611066857327477,19.98,37,G44,4.2220587730407715
204,data/new_large_graph/G54.mtx,1000,5916,5.294475793838501,0.326413631439209,166734.015625,612411.375,0.7277418048856457,11.832,136,G54,4.7737343311309814
205,data/new_large_graph/G43.mtx,1000,9990,5.350052118301392,0.3149209022521973,206818.78125,350920.96875,0.4106400025433077,19.98,36,G43,4.186444044113159
206,data/new_large_graph/dwt_1005.mtx,1005,4813,5.466844081878662,0.31840968132019043,21492.640625,341872.71875,0.937132624376744,9.57810945273632,28,dwt_1005,2.046558141708374
207,data/new_large_graph/dwt_1007.mtx,1007,4791,5.324442863464356,0.31990909576416016,16159.4013671875,371194.625,0.9564664995696328,9.515392254220457,11,dwt_1007,2.8936026096343994
208,data/new_large_graph/jagmesh2.mtx,1009,3937,5.416398286819458,0.3390538692474365,6191.47021484375,348864.34375,0.9822524992141912,7.803766105054509,8,jagmesh2,1.371321201324463
